date,item,quantity
2021-07-22,Croissant,66
2021-07-22,Danish,12
2021-07-23,Croissant,79
2021-07-23,Danish,31
2021-07-24,Croissant,86
2021-07-24,Danish,14
2021-07-25,Croissant,64
2021-07-25,Danish,10
2021-07-28,Croissant,53
2021-07-28,Danish,13
2021-07-29,Croissant,42
2021-07-29,Danish,12
2021-07-30,Croissant,72
2021-07-30,Danish,12
2021-07-31,Croissant,89
2021-07-31,Danish,24
2021-08-01,Croissant,79
2021-08-01,Danish,9
2021-08-03,Croissant,61
2021-08-03,Danish,14
2021-08-04,Croissant,54
2021-08-04,Danish,10
2021-08-05,Croissant,53
2021-08-05,Danish,14
2021-08-06,Croissant,87
2021-08-06,Danish,16
2021-08-07,Croissant,133
2021-08-07,Danish,13
2021-08-08,Croissant,64
2021-08-08,Danish,15
2021-08-10,Croissant,62
2021-08-10,Danish,10
2021-08-11,Croissant,88
2021-08-11,Danish,10
2021-08-12,Croissant,55
2021-08-12,Danish,11
2021-08-13,Croissant,68
2021-08-13,Danish,13
2021-08-14,Croissant,99
2021-08-14,Danish,19
2021-08-15,Croissant,47
2021-08-15,Danish,16
2021-08-17,Croissant,43
2021-08-17,Danish,9
2021-08-18,Croissant,49
2021-08-18,Danish,10
2021-08-19,Croissant,82
2021-08-19,Danish,15
2021-08-20,Croissant,73
2021-08-20,Danish,3
2021-08-21,Croissant,125
2021-08-21,Danish,31
2021-08-22,Croissant,55
2021-08-22,Danish,5
2021-08-24,Croissant,48
2021-08-24,Danish,10
2021-08-25,Croissant,64
2021-08-25,Danish,7
2021-08-26,Croissant,73
2021-08-26,Danish,16
2021-08-27,Croissant,79
2021-08-27,Danish,9
2021-08-28,Croissant,97
2021-08-28,Danish,15
2021-08-29,Croissant,73
2021-08-29,Danish,6
2021-08-31,Croissant,32
2021-08-31,Danish,6
2021-09-01,Croissant,33
2021-09-01,Danish,5
2021-09-02,Croissant,37
2021-09-02,Danish,6
2021-09-03,Croissant,80
2021-09-03,Danish,12
2021-09-04,Croissant,101
2021-09-04,Danish,18
2021-09-05,Croissant,63
2021-09-05,Danish,14
2021-09-07,Danish,15
2021-09-08,Croissant,23
2021-09-08,Danish,16
2021-09-09,Croissant,32
2021-09-09,Danish,10
2021-09-10,Croissant,52
2021-09-10,Danish,8
2021-09-11,Croissant,88
2021-09-11,Danish,30
2021-09-12,Croissant,37
2021-09-12,Danish,17
2021-09-14,Croissant,28
2021-09-14,Danish,9
2021-09-15,Croissant,27
2021-09-15,Danish,15
2021-09-16,Croissant,27
2021-09-16,Danish,27
2021-09-17,Croissant,56
2021-09-17,Danish,24
2021-09-18,Croissant,79
2021-09-18,Danish,31
2021-09-19,Croissant,73
2021-09-19,Danish,44
2021-09-21,Croissant,23
2021-09-21,Danish,22
2021-09-22,Croissant,30
2021-09-22,Danish,13
2021-09-23,Croissant,29
2021-09-23,Danish,8
2021-09-24,Croissant,65
2021-09-24,Danish,23
2021-09-25,Croissant,81
2021-09-25,Danish,40
2021-09-26,Croissant,43
2021-09-26,Danish,30
2021-09-29,Croissant,25
2021-09-29,Danish,18
2021-09-30,Croissant,36
2021-09-30,Danish,20
2021-10-01,Croissant,33
2021-10-01,Danish,23
2021-10-02,Croissant,65
2021-10-02,Danish,39
2021-10-03,Croissant,67
2021-10-03,Danish,31
2021-10-05,Croissant,41
2021-10-05,Danish,1
2021-10-06,Croissant,41
2021-10-06,Danish,21
2021-10-07,Croissant,44
2021-10-07,Danish,25
2021-10-08,Croissant,58
2021-10-08,Danish,27
2021-10-09,Croissant,80
2021-10-09,Danish,50
2021-10-10,Croissant,64
2021-10-10,Danish,33
2021-10-12,Croissant,32
2021-10-12,Danish,20
2021-10-13,Croissant,40
2021-10-13,Danish,28
2021-10-14,Croissant,30
2021-10-14,Danish,20
2021-10-15,Croissant,43
2021-10-15,Danish,30
2021-10-16,Croissant,70
2021-10-16,Danish,38
2021-10-17,Croissant,35
2021-10-17,Danish,29
2021-10-19,Croissant,36
2021-10-19,Danish,14
2021-10-20,Croissant,48
2021-10-20,Danish,24
2021-10-21,Croissant,40
2021-10-21,Danish,26
2021-10-22,Croissant,44
2021-10-22,Danish,19
2021-10-23,Croissant,67
2021-10-23,Danish,46
2021-10-24,Croissant,44
2021-10-24,Danish,38
2021-10-25,Croissant,1
2021-10-27,Croissant,47
2021-10-27,Danish,16
2021-10-28,Croissant,35
2021-10-28,Danish,16
2021-10-29,Croissant,52
2021-10-29,Danish,28
2021-10-30,Croissant,70
2021-10-30,Danish,44
2021-10-31,Croissant,33
2021-10-31,Danish,24
2021-11-03,Croissant,48
2021-11-03,Danish,21
2021-11-04,Croissant,35
2021-11-04,Danish,20
2021-11-05,Croissant,47
2021-11-05,Danish,26
2021-11-06,Croissant,63
2021-11-06,Danish,49
2021-11-07,Croissant,73
2021-11-07,Danish,18
2021-11-10,Croissant,33
2021-11-10,Danish,16
2021-11-11,Croissant,43
2021-11-11,Danish,24
2021-11-12,Croissant,39
2021-11-12,Danish,27
2021-11-13,Croissant,71
2021-11-13,Danish,47
2021-11-14,Croissant,53
2021-11-14,Danish,28
2021-11-17,Croissant,38
2021-11-17,Danish,21
2021-11-18,Croissant,40
2021-11-18,Danish,15
2021-11-19,Croissant,53
2021-11-19,Danish,27
2021-11-20,Croissant,58
2021-11-20,Danish,42
2021-11-21,Croissant,39
2021-11-21,Danish,21
2021-11-24,Croissant,100
2021-11-24,Danish,77
2021-11-27,Croissant,60
2021-11-27,Danish,40
2021-11-28,Croissant,21
2021-11-28,Danish,8
2021-12-01,Croissant,42
2021-12-01,Danish,21
2021-12-02,Croissant,33
2021-12-02,Danish,11
2021-12-03,Croissant,34
2021-12-03,Danish,7
2021-12-04,Croissant,50
2021-12-04,Danish,34
2021-12-05,Croissant,29
2021-12-05,Danish,14
2021-12-08,Croissant,24
2021-12-08,Danish,16
2021-12-09,Croissant,22
2021-12-09,Danish,14
2021-12-10,Croissant,49
2021-12-10,Danish,24
2021-12-11,Croissant,57
2021-12-11,Danish,36
2021-12-12,Croissant,39
2021-12-12,Danish,7
2021-12-15,Croissant,34
2021-12-15,Danish,22
2021-12-16,Croissant,21
2021-12-16,Danish,13
2021-12-17,Croissant,43
2021-12-17,Danish,4
2021-12-18,Croissant,75
2021-12-18,Danish,29
2021-12-19,Croissant,22
2021-12-19,Danish,15
2021-12-22,Croissant,56
2021-12-22,Danish,20
2021-12-23,Croissant,60
2021-12-23,Danish,28
2021-12-24,Croissant,121
2021-12-24,Danish,41
2021-12-29,Croissant,56
2021-12-29,Danish,24
2021-12-30,Croissant,50
2021-12-30,Danish,18
2021-12-31,Croissant,101
2021-12-31,Danish,30
2022-01-02,Croissant,27
2022-01-02,Danish,9
2022-01-05,Croissant,39
2022-01-05,Danish,6
2022-01-06,Croissant,21
2022-01-06,Danish,9
2022-01-07,Croissant,52
2022-01-07,Danish,22
2022-01-08,Croissant,55
2022-01-08,Danish,34
2022-01-09,Croissant,12
2022-01-09,Danish,5
2022-01-12,Croissant,18
2022-01-12,Danish,15
2022-01-13,Croissant,34
2022-01-13,Danish,22
2022-01-14,Croissant,73
2022-01-14,Danish,33
2022-01-15,Croissant,60
2022-01-15,Danish,34
2022-01-16,Croissant,36
2022-01-16,Danish,29
2022-01-19,Croissant,41
2022-01-19,Danish,15
2022-01-20,Croissant,42
2022-01-20,Danish,20
2022-01-21,Croissant,44
2022-01-21,Danish,17
2022-01-22,Croissant,43
2022-01-22,Danish,16
2022-01-23,Croissant,35
2022-01-23,Danish,16
2022-01-26,Croissant,32
2022-01-26,Danish,17
2022-01-27,Croissant,34
2022-01-27,Danish,6
2022-01-28,Croissant,55
2022-01-28,Danish,22
2022-01-29,Croissant,60
2022-01-29,Danish,24
2022-01-30,Croissant,54
2022-01-30,Danish,20
2022-02-02,Croissant,64
2022-02-02,Danish,22
2022-02-03,Croissant,22
2022-02-03,Danish,21
2022-02-04,Croissant,9
2022-02-04,Danish,7
2022-02-05,Croissant,48
2022-02-05,Danish,33
2022-02-06,Croissant,51
2022-02-06,Danish,24
2022-02-09,Croissant,40
2022-02-09,Danish,20
2022-02-10,Croissant,27
2022-02-10,Danish,14
2022-02-11,Croissant,52
2022-02-11,Danish,25
2022-02-12,Croissant,66
2022-02-12,Danish,33
2022-02-13,Croissant,43
2022-02-13,Danish,17
2022-02-16,Croissant,55
2022-02-16,Danish,24
2022-02-17,Croissant,41
2022-02-17,Danish,18
2022-02-18,Croissant,26
2022-02-18,Danish,7
2022-02-19,Croissant,74
2022-02-19,Danish,34
2022-02-20,Croissant,46
2022-02-20,Danish,24
2022-02-23,Croissant,44
2022-02-23,Danish,30
2022-02-24,Croissant,40
2022-02-24,Danish,26
2022-02-25,Croissant,35
2022-02-25,Danish,15
2022-02-26,Croissant,89
2022-02-26,Danish,46
2022-02-27,Croissant,56
2022-02-27,Danish,25
2022-03-02,Croissant,38
2022-03-02,Danish,16
2022-03-03,Croissant,40
2022-03-03,Danish,20
2022-03-04,Croissant,52
2022-03-04,Danish,27
2022-03-05,Croissant,54
2022-03-05,Danish,35
2022-03-06,Croissant,52
2022-03-06,Danish,21
2022-03-09,Croissant,50
2022-03-09,Danish,18
2022-03-10,Croissant,35
2022-03-10,Danish,13
2022-03-11,Croissant,47
2022-03-11,Danish,26
2022-03-12,Croissant,40
2022-03-12,Danish,14
2022-03-13,Croissant,32
2022-03-13,Danish,15
2022-03-16,Croissant,35
2022-03-16,Danish,20
2022-03-17,Croissant,31
2022-03-17,Danish,13
2022-03-18,Croissant,66
2022-03-18,Danish,24
2022-03-19,Croissant,48
2022-03-19,Danish,23
2022-03-20,Croissant,36
2022-03-20,Danish,22
2022-03-23,Croissant,36
2022-03-23,Danish,21
2022-03-24,Croissant,21
2022-03-24,Danish,21
2022-03-25,Croissant,50
2022-03-25,Danish,24
2022-03-26,Croissant,64
2022-03-26,Danish,31
2022-03-27,Croissant,41
2022-03-27,Danish,27
2022-03-30,Croissant,48
2022-03-30,Danish,24
2022-03-31,Croissant,21
2022-03-31,Danish,12
2022-04-01,Croissant,30
2022-04-01,Danish,9
2022-04-02,Croissant,63
2022-04-02,Danish,28
2022-04-03,Croissant,36
2022-04-03,Danish,11
2022-04-06,Croissant,45
2022-04-06,Danish,18
2022-04-07,Croissant,34
2022-04-07,Danish,10
2022-04-08,Croissant,58
2022-04-08,Danish,26
2022-04-09,Croissant,68
2022-04-09,Danish,41
2022-04-10,Croissant,44
2022-04-10,Danish,25
2022-04-13,Croissant,39
2022-04-13,Danish,18
2022-04-15,Croissant,41
2022-04-15,Danish,29
2022-04-16,Croissant,64
2022-04-16,Danish,33
2022-04-20,Croissant,33
2022-04-20,Danish,21
2022-04-21,Croissant,51
2022-04-21,Danish,23
2022-04-22,Croissant,50
2022-04-22,Danish,27
2022-04-23,Croissant,59
2022-04-23,Danish,38
2022-04-24,Croissant,59
2022-04-24,Danish,19
2022-04-27,Croissant,49
2022-04-27,Danish,27
2022-04-28,Croissant,40
2022-04-28,Danish,23
2022-04-29,Croissant,60
2022-04-29,Danish,28
2022-04-30,Croissant,80
2022-04-30,Danish,31
2022-05-01,Croissant,48
2022-05-01,Danish,16
2022-05-04,Croissant,14
2022-05-04,Danish,19
2022-05-05,Croissant,34
2022-05-05,Danish,20
2022-05-06,Croissant,61
2022-05-06,Danish,25
2022-05-07,Croissant,65
2022-05-07,Danish,30
2022-05-08,Croissant,56
2022-05-08,Danish,35
2022-05-11,Croissant,38
2022-05-11,Danish,23
2022-05-12,Croissant,42
2022-05-12,Danish,39
2022-05-13,Croissant,56
2022-05-13,Danish,35
2022-05-14,Croissant,74
2022-05-14,Danish,44
2022-05-15,Croissant,53
2022-05-15,Danish,32
2022-05-18,Croissant,34
2022-05-18,Danish,27
2022-05-19,Croissant,46
2022-05-19,Danish,19
2022-05-20,Croissant,53
2022-05-20,Danish,23
2022-05-21,Croissant,124
2022-05-21,Danish,32
2022-05-22,Croissant,63
2022-05-22,Danish,37
2022-05-25,Croissant,46
2022-05-25,Danish,27
2022-05-26,Croissant,46
2022-05-26,Danish,26
2022-05-27,Croissant,81
2022-05-27,Danish,44
2022-05-28,Croissant,110
2022-05-28,Danish,59
2022-05-29,Croissant,91
2022-05-29,Danish,55
2022-05-31,Croissant,10
2022-06-01,Croissant,43
2022-06-01,Danish,28
2022-06-02,Croissant,38
2022-06-02,Danish,19
2022-06-03,Croissant,50
2022-06-03,Danish,36
2022-06-04,Croissant,70
2022-06-04,Danish,45
2022-06-05,Croissant,55
2022-06-05,Danish,42
2022-06-09,Croissant,39
2022-06-09,Danish,36
2022-06-10,Croissant,54
2022-06-10,Danish,41
2022-06-11,Croissant,145
2022-06-11,Danish,71
2022-06-12,Croissant,72
2022-06-12,Danish,47
2022-06-15,Croissant,54
2022-06-15,Danish,26
2022-06-16,Croissant,42
2022-06-16,Danish,15
2022-06-17,Croissant,68
2022-06-17,Danish,37
2022-06-18,Croissant,122
2022-06-18,Danish,50
2022-06-19,Croissant,76
2022-06-19,Danish,26
2022-06-22,Croissant,50
2022-06-22,Danish,43
2022-06-23,Croissant,86
2022-06-23,Danish,36
2022-06-24,Croissant,64
2022-06-24,Danish,28
2022-06-25,Croissant,93
2022-06-25,Danish,52
2022-06-26,Croissant,44
2022-06-26,Danish,27
2022-06-29,Croissant,62
2022-06-29,Danish,30
2022-06-30,Croissant,70
2022-07-01,Croissant,80
2022-07-01,Danish,42
2022-07-02,Croissant,125
2022-07-02,Danish,57
2022-07-03,Croissant,51
2022-07-03,Danish,63
2022-07-07,Croissant,69
2022-07-07,Danish,46
2022-07-08,Croissant,90
2022-07-08,Danish,53
2022-07-09,Croissant,95
2022-07-09,Danish,53
2022-07-10,Croissant,87
2022-07-10,Danish,49
2022-07-13,Croissant,61
2022-07-13,Danish,32
2022-07-14,Croissant,88
2022-07-14,Danish,45
2022-07-15,Croissant,49
2022-07-15,Danish,17
2022-07-16,Croissant,92
2022-07-16,Danish,53
2022-07-17,Croissant,54
2022-07-17,Danish,53
2022-07-21,Croissant,49
2022-07-21,Danish,40
2022-07-22,Croissant,118
2022-07-22,Danish,8
2022-07-23,Croissant,79
2022-07-23,Danish,62
2022-07-24,Croissant,46
2022-07-24,Danish,48
2022-07-28,Croissant,91
2022-07-28,Danish,40
2022-07-29,Croissant,82
2022-07-29,Danish,22
2022-07-30,Croissant,109
2022-07-30,Danish,53
2022-07-31,Croissant,124
2022-07-31,Danish,33
2022-08-04,Croissant,110
2022-08-04,Danish,57
2022-08-05,Croissant,74
2022-08-05,Danish,30
2022-08-06,Croissant,114
2022-08-06,Danish,45
2022-08-07,Croissant,100
2022-08-07,Danish,27
2022-08-11,Croissant,101
2022-08-12,Croissant,98
2022-08-12,Danish,36
2022-08-13,Croissant,102
2022-08-13,Danish,47
2022-08-14,Croissant,104
2022-08-14,Danish,51
2022-08-17,Croissant,9
2022-08-17,Danish,6
2022-08-18,Croissant,35
2022-08-18,Danish,2
2022-08-19,Croissant,47
2022-08-19,Danish,55
2022-08-20,Croissant,97
2022-08-20,Danish,48
2022-08-21,Croissant,58
2022-08-21,Danish,42
2022-08-26,Croissant,84
2022-08-27,Croissant,115
2022-08-28,Croissant,66
2022-08-28,Danish,39
2022-09-02,Croissant,89
2022-09-02,Danish,46
2022-09-03,Croissant,103
2022-09-03,Danish,46
2022-09-04,Croissant,44
2022-09-04,Danish,20
2022-09-08,Croissant,60
2022-09-08,Danish,34
2022-09-09,Croissant,68
2022-09-09,Danish,32
2022-09-10,Croissant,103
2022-09-10,Danish,51
2022-09-11,Croissant,69
2022-09-11,Danish,31
2022-09-15,Croissant,55
2022-09-15,Danish,32
2022-09-16,Croissant,97
2022-09-16,Danish,7
2022-09-17,Croissant,91
2022-09-17,Danish,32
2022-09-18,Croissant,71
2022-09-18,Danish,40
2022-09-22,Croissant,66
2022-09-22,Danish,36
2022-09-23,Croissant,78
2022-09-23,Danish,28
2022-09-24,Croissant,105
2022-09-24,Danish,28
2022-09-25,Croissant,77
2022-09-25,Danish,23
2022-09-30,Croissant,97
2022-09-30,Danish,38
2022-10-01,Croissant,113
2022-10-01,Danish,42
2022-10-02,Croissant,64
2022-10-02,Danish,35
2022-10-06,Croissant,66
2022-10-06,Danish,32
2022-10-07,Croissant,52
2022-10-07,Danish,26
2022-10-08,Croissant,116
2022-10-08,Danish,49
2022-10-09,Croissant,94
2022-10-09,Danish,38
2022-10-13,Croissant,64
2022-10-13,Danish,31
2022-10-14,Croissant,91
2022-10-14,Danish,38
2022-10-15,Croissant,94
2022-10-15,Danish,43
2022-10-16,Croissant,64
2022-10-16,Danish,37
2022-10-20,Croissant,40
2022-10-20,Danish,30
2022-10-21,Croissant,85
2022-10-21,Danish,45
2022-10-22,Croissant,87
2022-10-22,Danish,22
2022-10-23,Croissant,72
2022-10-23,Danish,30
2022-10-27,Croissant,51
2022-10-27,Danish,23
2022-10-28,Croissant,59
2022-10-28,Danish,37
2022-10-29,Croissant,81
2022-10-29,Danish,31
2022-10-30,Croissant,60
2022-10-30,Danish,22
2022-11-03,Croissant,41
2022-11-03,Danish,17
2022-11-04,Croissant,63
2022-11-04,Danish,30
2022-11-05,Croissant,136
2022-11-05,Danish,19
2022-11-06,Croissant,59
2022-11-06,Danish,38
2022-11-10,Croissant,40
2022-11-10,Danish,17
2022-11-11,Croissant,45
2022-11-11,Danish,21
2022-11-12,Croissant,86
2022-11-12,Danish,35
2022-11-13,Croissant,58
2022-11-13,Danish,18
2022-11-17,Croissant,44
2022-11-17,Danish,18
2022-11-18,Croissant,53
2022-11-18,Danish,24
2022-11-19,Croissant,62
2022-11-19,Danish,33
2022-11-20,Croissant,41
2022-11-20,Danish,13
2022-11-23,Croissant,81
2022-11-23,Danish,24
2022-11-27,Croissant,30
2022-11-27,Danish,15
2022-12-01,Croissant,30
2022-12-01,Danish,16
2022-12-02,Croissant,35
2022-12-02,Danish,15
2022-12-03,Croissant,45
2022-12-03,Danish,19
2022-12-04,Croissant,38
2022-12-04,Danish,18
2022-12-08,Croissant,47
2022-12-08,Danish,20
2022-12-09,Croissant,39
2022-12-09,Danish,10
2022-12-10,Croissant,46
2022-12-10,Danish,26
2022-12-11,Croissant,25
2022-12-11,Danish,5
2022-12-15,Croissant,37
2022-12-15,Danish,12
2022-12-16,Croissant,39
2022-12-16,Danish,16
2022-12-17,Croissant,56
2022-12-17,Danish,24
2022-12-18,Croissant,27
2022-12-18,Danish,8
2022-12-23,Croissant,76
2022-12-23,Danish,21
2022-12-24,Croissant,84
2022-12-24,Danish,24
2022-12-29,Croissant,50
2022-12-29,Danish,17
2022-12-30,Croissant,49
2022-12-30,Danish,21
2022-12-31,Croissant,78
2022-12-31,Danish,29
2023-01-12,Croissant,35
2023-01-12,Danish,18
2023-01-13,Croissant,32
2023-01-13,Danish,11
2023-01-14,Croissant,75
2023-01-14,Danish,32
2023-01-15,Croissant,34
2023-01-15,Danish,21
2023-01-19,Croissant,39
2023-01-19,Danish,19
2023-01-20,Croissant,73
2023-01-20,Danish,17
2023-01-21,Croissant,71
2023-01-21,Danish,30
2023-01-22,Croissant,30
2023-01-22,Danish,17
2023-01-26,Croissant,37
2023-01-26,Danish,17
2023-01-27,Croissant,45
2023-01-27,Danish,19
2023-01-28,Croissant,68
2023-01-28,Danish,34
2023-01-29,Croissant,30
2023-01-29,Danish,15
2023-02-03,Croissant,25
2023-02-03,Danish,14
2023-02-04,Croissant,47
2023-02-04,Danish,24
2023-02-05,Croissant,35
2023-02-05,Danish,15
2023-02-09,Croissant,53
2023-02-09,Danish,22
2023-02-10,Croissant,28
2023-02-10,Danish,13
2023-02-11,Croissant,65
2023-02-11,Danish,45
2023-02-12,Croissant,25
2023-02-12,Danish,23
2023-02-16,Croissant,37
2023-02-16,Danish,17
2023-02-17,Croissant,42
2023-02-17,Danish,38
2023-02-18,Croissant,69
2023-02-18,Danish,37
2023-02-19,Croissant,44
2023-02-19,Danish,32
2023-02-23,Croissant,30
2023-02-23,Danish,11
2023-02-24,Croissant,36
2023-02-24,Danish,25
2023-02-25,Croissant,65
2023-02-25,Danish,32
2023-02-26,Croissant,32
2023-02-26,Danish,34
2023-03-02,Croissant,43
2023-03-02,Danish,25
2023-03-03,Croissant,48
2023-03-03,Danish,24
2023-03-04,Croissant,40
2023-03-04,Danish,33
2023-03-05,Croissant,42
2023-03-05,Danish,12
2023-03-07,Croissant,27
2023-03-07,Danish,13
2023-03-09,Croissant,45
2023-03-09,Danish,21
2023-03-10,Croissant,42
2023-03-10,Danish,24
2023-03-11,Croissant,50
2023-03-11,Danish,25
2023-03-12,Croissant,58
2023-03-12,Danish,28
2023-03-16,Croissant,33
2023-03-16,Danish,18
2023-03-17,Croissant,37
2023-03-17,Danish,15
2023-03-18,Croissant,60
2023-03-18,Danish,27
2023-03-19,Croissant,37
2023-03-19,Danish,20
2023-03-23,Croissant,42
2023-03-23,Danish,21
2023-03-24,Croissant,55
2023-03-24,Danish,10
2023-03-25,Croissant,62
2023-03-25,Danish,35
2023-03-26,Croissant,26
2023-03-26,Danish,23
2023-03-30,Croissant,38
2023-03-30,Danish,21
2023-03-31,Croissant,54
2023-03-31,Danish,26
2023-04-01,Croissant,71
2023-04-01,Danish,30
2023-04-02,Croissant,32
2023-04-02,Danish,15
2023-04-06,Croissant,27
2023-04-06,Danish,20
2023-04-07,Croissant,58
2023-04-07,Danish,32
2023-04-08,Croissant,93
2023-04-08,Danish,36
2023-04-09,Croissant,15
2023-04-13,Croissant,30
2023-04-13,Danish,16
2023-04-14,Croissant,63
2023-04-14,Danish,30
2023-04-15,Croissant,75
2023-04-15,Danish,42
2023-04-16,Croissant,48
2023-04-16,Danish,26
2023-04-20,Croissant,33
2023-04-20,Danish,19
2023-04-21,Croissant,64
2023-04-21,Danish,28
2023-04-22,Croissant,78
2023-04-22,Danish,38
2023-04-23,Croissant,49
2023-04-23,Danish,37
2023-04-27,Croissant,48
2023-04-27,Danish,26
2023-04-28,Croissant,78
2023-04-28,Danish,41
2023-04-29,Croissant,75
2023-04-29,Danish,64
2023-04-30,Croissant,35
2023-04-30,Danish,39
2023-05-04,Croissant,53
2023-05-04,Danish,32
2023-05-05,Croissant,84
2023-05-05,Danish,33
2023-05-06,Croissant,89
2023-05-06,Danish,55
2023-05-07,Croissant,63
2023-05-07,Danish,30
2023-05-10,Croissant,24
2023-05-11,Croissant,35
2023-05-11,Danish,25
2023-05-12,Croissant,70
2023-05-12,Danish,31
2023-05-13,Croissant,74
2023-05-13,Danish,56
2023-05-14,Croissant,87
2023-05-14,Danish,49
2023-05-18,Croissant,55
2023-05-18,Danish,26
2023-05-19,Croissant,68
2023-05-19,Danish,44
2023-05-20,Croissant,77
2023-05-20,Danish,60
2023-05-21,Croissant,47
2023-05-21,Danish,42
2023-05-25,Croissant,76
2023-05-25,Danish,27
2023-05-26,Croissant,80
2023-05-26,Danish,47
2023-05-27,Croissant,89
2023-05-27,Danish,56
2023-05-28,Croissant,68
2023-05-28,Danish,49
2023-05-31,Croissant,21
2023-05-31,Danish,17
2023-06-01,Croissant,36
2023-06-01,Danish,29
2023-06-02,Croissant,64
2023-06-02,Danish,34
2023-06-03,Croissant,81
2023-06-03,Danish,49
2023-06-04,Croissant,66
2023-06-04,Danish,40
2023-06-07,Croissant,37
2023-06-07,Danish,24
2023-06-08,Croissant,33
2023-06-08,Danish,24
2023-06-09,Croissant,72
2023-06-09,Danish,41
2023-06-10,Croissant,106
2023-06-10,Danish,67
2023-06-11,Croissant,90
2023-06-11,Danish,51
2023-06-14,Croissant,26
2023-06-14,Danish,22
2023-06-15,Croissant,63
2023-06-15,Danish,43
2023-06-16,Croissant,72
2023-06-16,Danish,52
2023-06-17,Croissant,60
2023-06-17,Danish,56
2023-06-18,Croissant,90
2023-06-18,Danish,66
2023-06-21,Croissant,51
2023-06-21,Danish,35
2023-06-22,Croissant,66
2023-06-22,Danish,38
2023-06-23,Croissant,59
2023-06-23,Danish,47
2023-06-24,Croissant,92
2023-06-24,Danish,65
2023-06-25,Croissant,55
2023-06-25,Danish,46
2023-06-28,Croissant,46
2023-06-28,Danish,36
2023-06-29,Croissant,56
2023-06-29,Danish,33
2023-06-30,Croissant,76
2023-06-30,Danish,65
2023-07-01,Croissant,110
2023-07-01,Danish,70
2023-07-02,Croissant,67
2023-07-02,Danish,50
2023-07-04,Croissant,7
2023-07-04,Danish,20
2023-07-05,Croissant,37
2023-07-05,Danish,49
2023-07-06,Croissant,50
2023-07-06,Danish,44
2023-07-07,Croissant,81
2023-07-07,Danish,44
2023-07-08,Croissant,98
2023-07-08,Danish,66
2023-07-09,Croissant,58
