date,item,quantity,day_of_week,day_of_month,month,year,week_of_year,is_weekend,lag_1w_ago,lag_2w_ago,lag_3w_ago,lag_4w_ago,lag_1y_same_week,lag_2y_same_week,rolling_mean_operational,rolling_std_operational
2021-01-22,Danish,0.0,4,22,1,2021,3,0,0.0,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2021-01-23,Croissant,54.09,5,23,1,2021,3,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-23,Danish,30.3,5,23,1,2021,3,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-24,Croissant,54.09,6,24,1,2021,3,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-24,Danish,30.3,6,24,1,2021,3,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-28,Danish,30.3,3,28,1,2021,4,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-28,Croissant,54.09,3,28,1,2021,4,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-29,Croissant,0.0,4,29,1,2021,4,0,0.0,0.0,0.0,0.0,54.09,54.09,0.0,0.0
2021-01-29,Danish,0.0,4,29,1,2021,4,0,0.0,0.0,0.0,0.0,30.3,30.3,0.0,0.0
2021-01-30,Croissant,54.09,5,30,1,2021,4,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-30,Danish,30.3,5,30,1,2021,4,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-01-31,Croissant,54.09,6,31,1,2021,4,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-01-31,Danish,30.3,6,31,1,2021,4,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-04,Croissant,54.09,3,4,2,2021,5,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-04,Danish,30.3,3,4,2,2021,5,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-05,Danish,30.3,4,5,2,2021,5,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-05,Croissant,54.09,4,5,2,2021,5,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-06,Danish,30.3,5,6,2,2021,5,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-06,Croissant,54.09,5,6,2,2021,5,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-07,Danish,30.3,6,7,2,2021,5,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-07,Croissant,54.09,6,7,2,2021,5,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-11,Croissant,54.09,3,11,2,2021,6,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-11,Danish,30.3,3,11,2,2021,6,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-12,Danish,30.3,4,12,2,2021,6,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-12,Croissant,54.09,4,12,2,2021,6,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-13,Croissant,54.09,5,13,2,2021,6,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-13,Danish,30.3,5,13,2,2021,6,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-14,Croissant,54.09,6,14,2,2021,6,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-14,Danish,30.3,6,14,2,2021,6,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-18,Danish,30.3,3,18,2,2021,7,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-18,Croissant,54.09,3,18,2,2021,7,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-19,Danish,30.3,4,19,2,2021,7,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-19,Croissant,54.09,4,19,2,2021,7,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-20,Croissant,54.09,5,20,2,2021,7,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-20,Danish,30.3,5,20,2,2021,7,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-21,Croissant,54.09,6,21,2,2021,7,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-21,Danish,30.3,6,21,2,2021,7,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-25,Croissant,54.09,3,25,2,2021,8,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-25,Danish,30.3,3,25,2,2021,8,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-26,Danish,30.3,4,26,2,2021,8,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-26,Croissant,54.09,4,26,2,2021,8,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-27,Croissant,54.09,5,27,2,2021,8,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-02-27,Danish,30.3,5,27,2,2021,8,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-28,Danish,30.3,6,28,2,2021,8,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-02-28,Croissant,54.09,6,28,2,2021,8,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-04,Danish,30.3,3,4,3,2021,9,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-04,Croissant,54.09,3,4,3,2021,9,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-05,Croissant,54.09,4,5,3,2021,9,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-05,Danish,30.3,4,5,3,2021,9,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-06,Croissant,54.09,5,6,3,2021,9,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-06,Danish,30.3,5,6,3,2021,9,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-07,Croissant,54.09,6,7,3,2021,9,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-07,Danish,30.3,6,7,3,2021,9,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-11,Croissant,54.09,3,11,3,2021,10,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-11,Danish,30.3,3,11,3,2021,10,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-12,Croissant,54.09,4,12,3,2021,10,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-12,Danish,30.3,4,12,3,2021,10,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-13,Danish,30.3,5,13,3,2021,10,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-13,Croissant,54.09,5,13,3,2021,10,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-14,Danish,30.3,6,14,3,2021,10,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-14,Croissant,54.09,6,14,3,2021,10,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-18,Danish,30.3,3,18,3,2021,11,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-18,Croissant,54.09,3,18,3,2021,11,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-19,Danish,30.3,4,19,3,2021,11,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-19,Croissant,54.09,4,19,3,2021,11,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-20,Croissant,54.09,5,20,3,2021,11,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-20,Danish,30.3,5,20,3,2021,11,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-21,Croissant,54.09,6,21,3,2021,11,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-21,Danish,30.3,6,21,3,2021,11,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-25,Croissant,54.09,3,25,3,2021,12,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-25,Danish,30.3,3,25,3,2021,12,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-26,Danish,30.3,4,26,3,2021,12,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-26,Croissant,54.09,4,26,3,2021,12,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-27,Danish,30.3,5,27,3,2021,12,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-27,Croissant,54.09,5,27,3,2021,12,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-03-28,Danish,30.3,6,28,3,2021,12,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-03-28,Croissant,54.09,6,28,3,2021,12,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-01,Croissant,54.09,3,1,4,2021,13,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-01,Danish,30.3,3,1,4,2021,13,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-02,Danish,30.3,4,2,4,2021,13,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-02,Croissant,54.09,4,2,4,2021,13,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-03,Danish,30.3,5,3,4,2021,13,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-03,Croissant,54.09,5,3,4,2021,13,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-04,Croissant,54.09,6,4,4,2021,13,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-04,Danish,30.3,6,4,4,2021,13,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-08,Danish,30.3,3,8,4,2021,14,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-08,Croissant,54.09,3,8,4,2021,14,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-09,Danish,30.3,4,9,4,2021,14,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-09,Croissant,54.09,4,9,4,2021,14,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-10,Danish,30.3,5,10,4,2021,14,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-10,Croissant,54.09,5,10,4,2021,14,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-11,Croissant,54.09,6,11,4,2021,14,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-11,Danish,30.3,6,11,4,2021,14,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-15,Danish,30.3,3,15,4,2021,15,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-15,Croissant,54.09,3,15,4,2021,15,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-16,Danish,30.3,4,16,4,2021,15,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-16,Croissant,54.09,4,16,4,2021,15,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-17,Danish,30.3,5,17,4,2021,15,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-17,Croissant,54.09,5,17,4,2021,15,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-18,Danish,30.3,6,18,4,2021,15,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-18,Croissant,54.09,6,18,4,2021,15,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-22,Croissant,54.09,3,22,4,2021,16,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-22,Danish,30.3,3,22,4,2021,16,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-23,Danish,30.3,4,23,4,2021,16,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-23,Croissant,54.09,4,23,4,2021,16,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-24,Croissant,54.09,5,24,4,2021,16,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-24,Danish,30.3,5,24,4,2021,16,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-25,Danish,30.3,6,25,4,2021,16,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-25,Croissant,54.09,6,25,4,2021,16,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-29,Danish,30.3,3,29,4,2021,17,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-04-29,Croissant,54.09,3,29,4,2021,17,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-30,Croissant,54.09,4,30,4,2021,17,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-04-30,Danish,30.3,4,30,4,2021,17,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-01,Danish,30.3,5,1,5,2021,17,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-01,Croissant,54.09,5,1,5,2021,17,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-02,Croissant,54.09,6,2,5,2021,17,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-02,Danish,30.3,6,2,5,2021,17,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-06,Danish,30.3,3,6,5,2021,18,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-06,Croissant,54.09,3,6,5,2021,18,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-07,Danish,30.3,4,7,5,2021,18,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-07,Croissant,54.09,4,7,5,2021,18,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-08,Croissant,54.09,5,8,5,2021,18,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-08,Danish,30.3,5,8,5,2021,18,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-09,Danish,30.3,6,9,5,2021,18,1,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-09,Croissant,54.09,6,9,5,2021,18,1,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-13,Croissant,42.0,3,13,5,2021,19,0,54.09,54.09,54.09,54.09,54.09,54.09,0.0,0.0
2021-05-13,Danish,27.0,3,13,5,2021,19,0,30.3,30.3,30.3,30.3,30.3,30.3,0.0,0.0
2021-05-14,Croissant,61.0,4,14,5,2021,19,0,42.0,42.0,42.0,42.0,54.09,54.09,42.0,0.0
2021-05-14,Danish,27.0,4,14,5,2021,19,0,27.0,27.0,27.0,27.0,30.3,30.3,27.0,0.0
2021-05-15,Danish,59.0,5,15,5,2021,19,1,27.0,27.0,27.0,27.0,30.3,30.3,27.0,0.0
2021-05-15,Croissant,100.0,5,15,5,2021,19,1,51.5,51.5,51.5,51.5,54.09,54.09,51.5,13.44
2021-05-16,Danish,28.0,6,16,5,2021,19,1,37.67,37.67,37.67,37.67,30.3,30.3,37.67,18.48
2021-05-16,Croissant,53.0,6,16,5,2021,19,1,67.67,67.67,67.67,67.67,54.09,54.09,67.67,29.57
2021-05-20,Croissant,19.0,3,20,5,2021,20,0,42.0,64.0,64.0,64.0,54.09,54.09,64.0,25.23
2021-05-20,Danish,11.0,3,20,5,2021,20,0,27.0,35.25,35.25,35.25,30.3,30.3,35.25,15.84
2021-05-21,Croissant,52.0,4,21,5,2021,20,0,61.0,58.25,58.25,58.25,54.09,54.09,58.25,33.26
2021-05-21,Danish,32.0,4,21,5,2021,20,0,27.0,31.25,31.25,31.25,30.3,30.3,31.25,20.07
2021-05-22,Croissant,94.0,5,22,5,2021,20,1,100.0,56.0,56.0,56.0,54.09,54.09,56.0,33.32
2021-05-22,Danish,37.0,5,22,5,2021,20,1,59.0,32.5,32.5,32.5,30.3,30.3,32.5,19.87
2021-05-23,Croissant,47.0,6,23,5,2021,20,1,53.0,54.5,54.5,54.5,54.09,54.09,54.5,30.71
2021-05-23,Danish,10.0,6,23,5,2021,20,1,28.0,27.0,27.0,27.0,30.3,30.3,27.0,11.28
2021-05-27,Croissant,40.0,3,27,5,2021,21,0,19.0,42.0,53.0,53.0,54.09,54.09,53.0,30.95
2021-05-27,Danish,17.0,3,27,5,2021,21,0,11.0,27.0,22.5,22.5,30.3,30.3,22.5,14.01
2021-05-28,Croissant,80.0,4,28,5,2021,21,0,52.0,61.0,58.25,58.25,54.09,54.09,58.25,24.34
2021-05-28,Danish,36.0,4,28,5,2021,21,0,32.0,27.0,24.0,24.0,30.3,30.3,24.0,12.62
2021-05-29,Croissant,95.0,5,29,5,2021,21,1,94.0,100.0,65.25,65.25,54.09,54.09,65.25,25.91
2021-05-29,Danish,60.0,5,29,5,2021,21,1,37.0,59.0,25.0,25.0,30.3,30.3,25.0,13.59
2021-05-30,Danish,24.0,6,30,5,2021,21,1,10.0,28.0,30.75,30.75,30.3,30.3,30.75,22.38
2021-05-30,Croissant,66.0,6,30,5,2021,21,1,47.0,53.0,65.5,65.5,54.09,54.09,65.5,26.29
2021-06-03,Danish,28.0,3,3,6,2021,22,0,17.0,11.0,27.0,34.25,30.3,30.3,34.25,18.87
2021-06-03,Croissant,53.0,3,3,6,2021,22,0,40.0,19.0,42.0,70.25,54.09,54.09,70.25,23.39
2021-06-04,Croissant,47.0,4,4,6,2021,22,0,80.0,52.0,61.0,73.5,54.09,54.09,73.5,18.08
2021-06-04,Danish,22.0,4,4,6,2021,22,0,36.0,32.0,27.0,37.0,30.3,30.3,37.0,16.12
2021-06-05,Danish,38.0,5,5,6,2021,22,1,60.0,37.0,59.0,33.5,30.3,30.3,33.5,17.84
2021-06-05,Croissant,85.0,5,5,6,2021,22,1,95.0,94.0,100.0,65.25,54.09,54.09,65.25,21.36
2021-06-06,Danish,8.0,6,6,6,2021,22,1,24.0,10.0,28.0,28.0,30.3,30.3,28.0,7.12
2021-06-06,Croissant,33.0,6,6,6,2021,22,1,66.0,47.0,53.0,62.75,54.09,54.09,62.75,16.82
2021-06-10,Danish,18.0,3,10,6,2021,23,0,28.0,17.0,11.0,27.0,30.3,30.3,24.0,12.54
2021-06-10,Croissant,35.0,3,10,6,2021,23,0,53.0,40.0,19.0,42.0,54.09,54.09,54.5,21.99
2021-06-11,Danish,27.0,4,11,6,2021,23,0,22.0,36.0,32.0,27.0,30.3,30.3,21.5,12.48
2021-06-11,Croissant,49.0,4,11,6,2021,23,0,47.0,80.0,52.0,61.0,54.09,54.09,50.0,24.14
2021-06-12,Croissant,93.0,5,12,6,2021,23,1,85.0,95.0,94.0,100.0,54.09,54.09,50.5,24.08
2021-06-12,Danish,24.0,5,12,6,2021,23,1,38.0,60.0,37.0,59.0,30.3,30.3,22.75,12.79
2021-06-13,Danish,23.0,6,13,6,2021,23,1,8.0,24.0,10.0,28.0,30.3,30.3,19.25,8.38
2021-06-13,Croissant,42.0,6,13,6,2021,23,1,33.0,66.0,47.0,53.0,54.09,54.09,52.5,27.92
2021-06-17,Croissant,34.0,3,17,6,2021,24,0,35.0,53.0,40.0,19.0,54.09,54.09,54.75,26.13
2021-06-17,Danish,15.0,3,17,6,2021,24,0,18.0,28.0,17.0,11.0,30.3,30.3,23.0,3.74
2021-06-18,Croissant,51.0,4,18,6,2021,24,0,49.0,47.0,80.0,52.0,54.09,54.09,54.5,26.39
2021-06-18,Danish,25.0,4,18,6,2021,24,0,27.0,22.0,36.0,32.0,30.3,30.3,22.25,5.12
2021-06-19,Croissant,110.0,5,19,6,2021,24,1,93.0,85.0,95.0,94.0,54.09,54.09,55.0,26.27
2021-06-19,Danish,50.0,5,19,6,2021,24,1,24.0,38.0,60.0,37.0,30.3,30.3,21.75,4.57
2021-06-20,Croissant,67.0,6,20,6,2021,24,1,42.0,33.0,66.0,47.0,54.09,54.09,59.25,34.54
2021-06-20,Danish,28.0,6,20,6,2021,24,1,23.0,8.0,24.0,10.0,30.3,30.3,28.25,15.13
2021-06-24,Croissant,50.0,3,24,6,2021,25,0,34.0,35.0,53.0,40.0,54.09,54.09,65.5,32.58
2021-06-24,Danish,11.0,3,24,6,2021,25,0,15.0,18.0,28.0,17.0,30.3,30.3,29.5,14.75
2021-06-25,Croissant,65.0,4,25,6,2021,25,0,51.0,49.0,47.0,80.0,54.09,54.09,69.5,28.1
2021-06-25,Danish,11.0,4,25,6,2021,25,0,25.0,27.0,22.0,36.0,30.3,30.3,28.5,16.13
2021-06-26,Croissant,84.0,5,26,6,2021,25,1,110.0,93.0,85.0,95.0,54.09,54.09,73.0,25.81
2021-06-26,Danish,24.0,5,26,6,2021,25,1,50.0,24.0,38.0,60.0,30.3,30.3,25.0,18.49
2021-06-27,Croissant,28.0,6,27,6,2021,25,1,67.0,42.0,33.0,66.0,54.09,54.09,66.5,13.92
2021-06-27,Danish,10.0,6,27,6,2021,25,1,28.0,23.0,8.0,24.0,30.3,30.3,18.5,8.81
2021-07-01,Croissant,53.0,3,1,7,2021,26,0,50.0,34.0,35.0,53.0,54.09,54.09,56.75,23.68
2021-07-01,Danish,6.0,3,1,7,2021,26,0,11.0,15.0,18.0,28.0,30.3,30.3,14.0,6.68
2021-07-02,Danish,12.0,4,2,7,2021,26,0,11.0,25.0,27.0,22.0,30.3,30.3,12.75,7.8
2021-07-02,Croissant,73.0,4,2,7,2021,26,0,65.0,51.0,49.0,47.0,54.09,54.09,57.5,23.44
2021-07-03,Croissant,111.0,5,3,7,2021,26,1,84.0,110.0,93.0,85.0,54.09,54.09,59.5,24.61
2021-07-03,Danish,12.0,5,3,7,2021,26,1,24.0,50.0,24.0,38.0,30.3,30.3,13.0,7.75
2021-07-04,Danish,0.0,6,4,7,2021,26,1,10.0,28.0,23.0,8.0,30.3,30.3,10.0,2.83
2021-07-04,Croissant,0.0,6,4,7,2021,26,1,28.0,67.0,42.0,33.0,54.09,54.09,66.25,35.06
2021-07-08,Danish,10.0,3,8,7,2021,27,0,6.0,11.0,15.0,18.0,30.3,30.3,7.5,5.74
2021-07-08,Croissant,42.0,3,8,7,2021,27,0,53.0,50.0,34.0,35.0,54.09,54.09,59.25,46.25
2021-07-09,Croissant,71.0,4,9,7,2021,27,0,73.0,65.0,51.0,49.0,54.09,54.09,56.5,47.06
2021-07-09,Danish,30.0,4,9,7,2021,27,0,12.0,11.0,25.0,27.0,30.3,30.3,8.5,5.74
2021-07-10,Danish,57.0,5,10,7,2021,27,1,12.0,24.0,50.0,24.0,30.3,30.3,13.0,12.49
2021-07-10,Croissant,108.0,5,10,7,2021,27,1,111.0,84.0,110.0,93.0,54.09,54.09,56.0,46.84
2021-07-11,Danish,29.0,6,11,7,2021,27,1,0.0,10.0,28.0,23.0,30.3,30.3,24.25,25.14
2021-07-11,Croissant,68.0,6,11,7,2021,27,1,0.0,28.0,67.0,42.0,54.09,54.09,55.25,45.68
2021-07-15,Danish,11.0,3,15,7,2021,28,0,10.0,6.0,11.0,15.0,30.3,30.3,31.5,19.33
2021-07-15,Croissant,26.0,3,15,7,2021,28,0,42.0,53.0,50.0,34.0,54.09,54.09,72.25,27.16
2021-07-16,Danish,23.0,4,16,7,2021,28,0,30.0,12.0,11.0,25.0,30.3,30.3,31.75,18.96
2021-07-16,Croissant,57.0,4,16,7,2021,28,0,71.0,73.0,65.0,51.0,54.09,54.09,68.25,33.53
2021-07-17,Danish,31.0,5,17,7,2021,28,1,57.0,12.0,24.0,50.0,30.3,30.3,30.0,19.49
